0
ABCB1
ABCB9
ABCC2
ABCC6
ABCG2
ABP1
ACAD11
ACADL
ACAN
ACCN2
ACSM5
ADAM12
ADAMTS14
ADM2
AFF3
AGMAT
AGTR1
AKR7A3
AKR7L
ALDH1A1
ALDH1L1
ALDH8A1
ALPK2
ALS2CL
ANGPT2
ANK3
ANPEP
AOAH
AOX1
APBA2
APOLD1
APOM
AQP1
AQP9
ARHGAP28
ARHGEF16
ARL4D
ASRGL1
ATOH8
ATP11A
ATP2B2
B4GALNT1
BAIAP2L1
BAIAP2L2
BANK1
BARX2
BCL2
BDH1
BDKRB2
BHMT
BTBD11
BTNL9
C10orf116
C11orf54
C11orf92
C13orf15
C14orf105
C14orf132
C16orf59
C17orf87
C19orf77
C20orf54
C3orf36
C4orf12
C4orf49
C5orf23
C6orf223
C9orf125
C9orf66
CABP1
CADM4
CALCRL
CASC1
CASQ2
CBS
CCDC146
CCL4L2
CCL4
CCNE1
CCR5
CCRL1
CD200R1
CD200
CD226
CD244
CD247
CD2
CD34
CD36
CD3D
CD3E
CD48
CD69
CD8A
CD8B
CD96
CDCA2
CDCP1
CDH13
CDH2
CDH3
CDH6
CDHR3
CDK18
CDON
CEACAM1
CEBPB
CES3
CGREF1
CHAC1
CHDH
CHST13
CIT
CKB
CLCN5
CLDN2
CLEC12A
CLEC14A
CLEC18A
CLEC18B
CLEC18C
CLEC1A
CLEC3B
CLEC7A
CLIC5
COBL
COL23A1
COL4A5
CORO2B
CORO6
CREB3L1
CRHBP
CST7
CTSW
CUBN
CX3CR1
CXCL10
CXCL11
CXCL14
CXCL9
CYBB
CYP27A1
CYP27B1
CYP3A5
CYS1
CYSLTR1
CYYR1
DCBLD2
DCDC2
DCN
DGAT2
DGCR5
DKFZp686O24166
DLL4
DMGDH
DMRTA1
DNAJC22
DNASE1L3
DOC2A
DOCK2
DOCK8
DOK5
DSEL
ECHDC3
EDN1
EDNRB
EEF1A2
EFNA5
EGLN3
EGOT
EHHADH
ELOVL7
ELTD1
EMCN
EMX2
ENPEP
ENPP2
ENTPD2
EPHA4
ERBB3
ESM1
ETV7
EVI2B
EXOC3L2
F2RL3
FAHD2B
FAM105A
FAM107A
FAM198A
FAM20A
FAM46B
FAM65B
FAM65C
FBLN1
FBP1
FBXO2
FCGR2C
FCN3
FGD2
FGFR3
FGL2
FHL5
FLJ23867
FLNC
FLRT3
FLT1
FMOD
FNDC4
FOLR1
FOSB
FPR3
FRAS1
FXYD2
FYB
FZD2
G0S2
GAL3ST1
GALNTL2
GAPT
GATM
GBP4
GBP5
GFPT2
GGT1
GHR
GIMAP2
GIMAP4
GIMAP6
GIMAP7
GIPC2
GK
GPC3
GPC4
GPER
GPR116
GPR126
GPR143
GPR34
GPR65
GPRC5A
GPRIN3
GPSM1
GRAP2
GZMA
GZMK
H19
HAAO
HAVCR2
HBB
HLA-DMB
HLA-DOA
HLA-DOB
HLA-DPA1
HLA-DPB1
HLA-DQA1
HLA-DQA2
HLA-DQB2
HLA-DRA
HLA-DRB1
HLA-G
HLF
HMGB3
HNF1A
HOMER2
HOXB8
HPN
HRH2
HSD11B2
HSPA2
HSPB7
ID4
IDO1
IGF2BP2
IGF2BP3
IGF2
IGFBP2
IGSF6
IKZF1
IL12RB1
IL17RB
IL18R1
IL1R2
IQGAP2
IRF8
IRS1
ITGA4
ITGA9
ITGAL
ITIH5
KBTBD11
KCNIP3
KCNJ15
KCNJ16
KCNMA1
KDR
KHK
KIF12
KLC3
KL
KRT17
KRT7
L1CAM
LAMB3
LAMC2
LCK
LCP1
LDB2
LEAP2
LEPREL2
LGALS2
LGI4
LILRA2
LIME1
LIN7A
LIPG
LMTK3
LOC100233209
LOC145837
LOC283050
LOC283314
LOC401052
LOXL1
LPHN1
LRMP
LRP2
LRRC70
LRRK2
LRRN2
LUM
LYG1
LYPD3
LYZ
MACC1
MAOB
MAP3K9
MAP7
MAPK8IP2
MAPT
MASP1
MGAM
MLLT11
MLPH
MLXIPL
MME
MMP7
MMP9
MMRN1
MNDA
MOBKL2B
MOXD1
MPEG1
MPP2
MS4A6A
MS4A7
MSR1
MT1E
MT1L
MT1X
MT2A
MUC20
MXRA5
MYCT1
MYO7B
MYOM3
NAPSB
NAT8
NCAM1
NCKAP1L
NDRG4
NDUFA4L2
NEBL
NEGR1
NKG7
NME5
NOSTRIN
NPR3
NPTXR
NTN4
ODZ1
OSTalpha
OVOL1
P2RX7
P2RY13
P2RY1
PABPC4L
PAK6
PARK2
PBLD
PCDH10
PCDH17
PCSK6
PDE2A
PDE3A
PDGFD
PDK4
PDZD2
PDZK1P1
PDZK1
PHYHD1
PIK3CG
PKIB
PLCH2
PLD4
PLEKHH2
PLIN2
PLN
PLS1
PLTP
PLVAP
PNMA2
PNMA6A
PNMAL1
PODXL2
PODXL
PPAP2A
PPAP2B
PPP1R16B
PRF1
PRKCB
PROM2
PRR19
PRUNE2
PSAT1
PSD3
PTER
PTGER3
PTGES
PTGIS
PTPRB
PTPRC
PTX3
PYCR1
QSOX1
RAB3IP
RAC3
RAMP3
RAPGEF4
RARRES1
RASGRF2
RASGRP1
RASSF6
RBP5
RBP7
RCAN2
REEP6
RET
RGL1
RGS5
RHOBTB3
RHOH
ROM1
RPLP0P2
RUNDC3B
S100A2
S1PR1
SATB2
SCN4A
SCNN1A
SDPR
SELP
SEMA5B
SEMA6A
SERPINA3
SERPINA5
SERPINF2
SHE
SHISA4
SIT1
SLC12A8
SLC13A3
SLC16A12
SLC16A4
